[03/Jan/2014:16:32:08] (admin) ///// Begin Sync sp_52c6e608f3ca4

[03/Jan/2014:16:32:09] (admin) ///// Start Listings Sync sp_52c6e608f3ca4

[03/Jan/2014:16:32:09] (admin) (Step 1) $this->connect()

[03/Jan/2014:16:32:09] (admin) (Step 2) First Time Sync

[03/Jan/2014:16:32:09] (admin) cache_get_master_properties : Cache Mode = 

[03/Jan/2014:16:32:09] (admin) cache_get_master_properties : Retrieved Master List Load From service->Search (ID=*)

[03/Jan/2014:16:32:09] (admin) Retrieved Master List Results Total:4178

[03/Jan/2014:16:32:09] (admin) Last Update Not Found Syncing All Data. Total Records: 4178

[03/Jan/2014:16:32:09] (admin) Property Not Found:1392492427/12/2013 7:50:03 PM

[03/Jan/2014:16:32:09] (admin) Property Not Found:1363867710/11/2013 12:45:09 PM

[03/Jan/2014:16:32:09] (admin) Property Not Found:1336084905/12/2013 11:35:58 PM

[03/Jan/2014:16:32:09] (admin) Property Not Found:1392492020/12/2013 9:02:08 PM

[03/Jan/2014:16:32:09] (admin) Property Not Found:1393558631/12/2013 8:29:35 PM

[03/Jan/2014:16:32:09] (admin) Property Not Found:1352080630/12/2013 7:54:24 PM

[03/Jan/2014:16:32:09] (admin) Property Not Found:1392491718/12/2013 8:53:27 PM

[03/Jan/2014:16:32:09] (admin) Property Not Found:1389124006/12/2013 9:17:58 PM

[03/Jan/2014:16:32:09] (admin) Property Not Found:1392491518/12/2013 8:53:06 PM

[03/Jan/2014:16:32:09] (admin) Property Not Found:1392491430/12/2013 8:46:36 PM

[03/Jan/2014:16:32:09] (admin) Property Not Found:1392491319/12/2013 9:07:39 PM

[03/Jan/2014:16:32:09] (admin) Property Not Found:1364708510/11/2013 1:02:14 PM

[03/Jan/2014:16:32:09] (admin) Property Not Found:1392491118/12/2013 8:53:18 PM

[03/Jan/2014:16:32:09] (admin) Property Not Found:1392490830/12/2013 7:53:42 PM

